;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
word_1;the;i;twitter;sick;sleep;the;kal;amp;rain;hug;homework;work;sneaker;de;dog;pogba;italy;depression;book;understand
word_2;depression;to;tweet;a;bed;bus;episode;song;cold;talk;school;job;her;pression;stephenkruiser;mourinho;earthquake;the;read;t
word_3;you;and;com;throat;to;traffic;show;quot;snow;you;class;the;your;d;cat;paul;news;great;library;how
word_4;to;a;my;my;tired;ticket;penn;album;weather;to;essay;to;depression;la;puppy;depression;in;co;copy;ask
word_5;is;my;on;i;i;a;sad;the;today;someone;doing;working;wear;le;poor;his;sad;inflation;reading;this
word_6;a;the;the;is;hour;you;cantu;you;raining;need;study;office;shoe;est;vet;united;today;pay;the;i
word_7;i;it;to;hurt;can;on;hill;it;snowing;i;to;at;mizzzidc;en;her;co;there;will;are;don
word_8;it;of;it;the;up;gym;sandra;video;it;lonely;day;fb;she;et;she;he;people;in;t;really
word_9;in;t;quot;sore;morning;to;the;is;the;me;not;desk;the;il;my;jose;tinyurl;government;to;darn
word_10;for;me;i;it;t;for;house;s;s;can;am;for;you;c;sorry;de;is;knowledge;it;ridden
