;Female References;Core Function Words;Pronouns & Entities;First-Person Narration;Self-Focus;Male References;Negation & Depression;Generic Pronouns A;Generic Pronouns B;Contractions & Negation;Depression Keywords;Generic Pronouns C;Generic Pronouns D;Quotes & French Terms;Depression & Anxiety;Function Word Cluster;Physical Symptoms;Function Words E;Generic Pronouns E;Second-Person Address
word_1;her;it;amp;i;i;he;to;i;i;im;depression;i;i;d;depression;a;cold;the;i;you
word_2;she;a;i;to;and;him;no;to;a;to;the;to;to;quot;anxiety;to;feeling;is;and;to
word_3;to;the;my;the;my;his;depression;t;and;i;you;and;and;de;of;and;headache;my;to;the
word_4;and;s;it;up;a;t;and;my;to;dont;t;it;the;le;a;of;anxiety;in;a;a
word_5;i;on;the;m;to;i;my;and;the;cant;your;t;my;la;break;i;symptom;a;me;is
word_6;we;for;wa;so;the;can;for;me;for;go;are;m;a;pression;one;m;and;and;the;and
word_7;my;is;just;you;it;u;x;a;of;but;co;just;of;c;theekween;mental;is;twitter;it;of
word_8;the;i;and;miss;of;in;not;that;it;is;in;feel;have;is;thelmasherbs;health;pain;all;that;it
word_9;wa;that;is;today;in;to;of;the;have;the;of;like;t;est;loved;my;day;of;wa;my
word_10;me;be;a;my;m;my;on;it;that;ive;u;a;in;pogba;heart;depression;depression;for;she;in
