;topic_0;topic_1;topic_2;topic_3;topic_4;topic_5;topic_6;topic_7;topic_8;topic_9;topic_10;topic_11;topic_12;topic_13;topic_14;topic_15;topic_16;topic_17;topic_18;topic_19
0;molested;aspergers;unloved;abuser;agonising;curious;parenting;anxiety;woman;itunes;sleep;cast;hydroxyzine;depression;introverted;noticeable;assistance;twitter;swollen;une
1;incident;mentalhealth;pleasant;abused;mundane;often;mum;anxious;gorgeous;download;asleep;nicolerichie;prescribed;depressive;socializing;happy;contact;tweet;vomiting;und
2;assaulted;madness;lonesome;therapy;slightly;wondering;mother;panic;lovely;youtube;sleeping;stephanie;prescription;depressant;socialize;coworker;needing;tweetdeck;sick;pas
3;violated;jobless;sky;abuse;strangely;occasionally;stepmother;terrified;female;reset;nap;episode;dosage;depressed;introvert;satisfied;hospitalized;tweeter;throat;dans
4;assault;healthcare;adopted;narcissist;somewhat;uncomfortable;parent;panicking;sent;macbook;bedtime;sandra;seroquel;antidepressant;hangout;replaced;outpatient;facebook;inflammation;un
5;accidentally;employer;neighbor;narcissistic;conclusion;interpersonal;grandmother;phobia;beautiful;tried;insomnia;heidimontag;pill;depressing;anonymous;returning;inpatient;instagram;nausea;mais
6;blacked;bully;stalker;forgive;mildly;honesty;daycare;agoraphobia;grandma;crashing;slept;tracy;mirtazapine;mood;extroverted;returned;need;ont;infection;french
7;happened;america;smell;psychotherapist;pessimistic;frequently;aunt;fearing;grateful;cant;waking;podcast;sertraline;psychiatric;popular;back;counsellor;blog;fever;sur
8;accident;pandemic;manchester;incompetent;slight;personally;mom;uneasy;lady;com;awake;twilight;adderall;misery;social;wore;sending;snapchat;ache;lang
9;threatening;quarantine;plain;therapist;strange;anyone;grandma;fear;grandmother;cd;bed;grace;venlafaxine;bipolar;tinder;backed;helper;twitpic;sore;fais
