feature,importance
Pronouns & Function Words,0.5940152461027286
Stopwords & Common Tokens,0.16578360916948326
Sleep & Rest,0.05393525430452678
Generic Discourse & Quotations,0.03710304028961385
Education & Schoolwork,0.02508505874745842
French Articles & Fragments,0.024718067405925574
Social Media & Mobile Tech,0.01919710126318648
Football Personalities,0.014839147162468043
Websites & Uploads,0.013297390878812848
Weather & Nature,0.010474404264815577
Socioeconomic & Mental Health,0.009786466035926436
Transportation & Commute,0.009764094674167107
Pets & Animals,0.004779067968952628
Fashion & Apparel,0.003997584075154938
Affection & Social Support,0.0037618869335944044
Calendars & Events,0.0030956348656951205
Current Events (Italy/Earthquake),0.002505113414334885
Internet Slang & Fillers,0.0016828576602602495
Questions & Gratitude,0.001280357334735494
Books & Reading,0.0008986174481592806
