importance,feature,model
0.0,Common Stopwords & Misc,BERTopic
0.0,Common Pronouns & Connectives,BERTopic
0.0,Physical Illness & Symptoms,BERTopic
0.0,HTML Entities & Generic Terms,BERTopic
0.0,Twitter & Social Media,BERTopic
0.0,Sleep & Rest,BERTopic
0.0,TV Shows & Episodes,BERTopic
0.0,Education & School,BERTopic
0.0,Interpersonal Communication,BERTopic
0.0,Weather,BERTopic
0.0,Pets & Animals,BERTopic
0.0,French Language & Prepositions,BERTopic
0.0,Music & Media,BERTopic
0.0,Fashion & Sneakers,BERTopic
0.0,Football Personalities,BERTopic
0.0,Italy Earthquake & News,BERTopic
0.0,Image Uploads & Files,BERTopic
0.0,Mental Health & Economy,BERTopic
0.0,Books & Reading,BERTopic
0.0,Questions & Understanding,BERTopic
