importance,feature,model
-0.0030721166362926767,Female References,LDA
-0.009893256964332253,Core Function Words,LDA
-0.00848737307992713,Pronouns & Entities,LDA
-0.02171309554803442,First-Person Narration,LDA
-0.00020827909398599687,Self-Focus,LDA
-0.005935954178599356,Male References,LDA
-0.020984118719083632,Negation & Depression,LDA
-0.00020827909398597467,Generic Pronouns A,LDA
-0.0008851861494402868,Generic Pronouns B,LDA
-0.000937255922936786,Contractions & Negation,LDA
-0.004217651653215371,Depression Keywords,LDA
0.000781046602447244,Generic Pronouns C,LDA
-0.001405883884405168,Generic Pronouns D,LDA
-0.022650351470971164,Quotes & French Terms,LDA
-0.012028117677688143,Depression & Anxiety,LDA
-0.0010934652434262393,Function Word Cluster,LDA
-0.009893256964332253,Physical Symptoms,LDA
-0.016766467065868308,Function Words E,LDA
0.0010934652434261504,Generic Pronouns E,LDA
0.0005727675084612916,Second-Person Address,LDA
