feature,importance,std_error
Missing & Absence,0.012023270846800327,0.0039868504059752344
Storytelling & Past Tense,0.011247575953458377,0.0021478019037926427
Informal Chat & Negation,0.00808015513897874,0.0026847523797408233
Emotions & Feelings,0.004266321913380755,0.0018328955240799073
Depression & Anxiety,0.003749191984486122,0.0020194569297755137
Missing & Longing,0.0023270846800258482,0.0015886497385189998
Comfort & Support,0.001616031027795739,0.0023351508556158384
General Pronouns,0.001486748545572103,0.0033219560846877104
Illness & Health,0.0014221073044602406,0.001551389786683899
Books & Reading,0.0003878474466709858,0.0022615198040770584
General English Usage,-0.00012928248222365823,0.00219780219780219
Mental Health,-0.0007110536522301203,0.002672272347588147
Modal Verbs & Ability,-0.0009696186166774368,0.0013326133243754513
Personal Pronouns & Expressions,-0.0012281835811247532,0.0025929115863130583
Generic/Time References,-0.001680672268907557,0.001809954751131215
Slang & Informal Speech,-0.002262443438914019,0.001052283167168691
Common Connectives & Contractions,-0.0025210084033613356,0.001429434026341041
Quotes & Morning Greetings,-0.0025856496444731647,0.0019818629239503347
Social Media Updates,-0.0025856496444731647,0.002163309700152741
Personal Expressions,-0.002714932126696823,0.0017296817272475246
