feature,importance,std_error
Common Pronouns & Connectives,0.3846153846153847,0.006206905693164991
French Language & Prepositions,0.010924369747899232,0.0012417176931026812
Books & Reading,0.0015513897866840098,0.0003166761141283994
Image Uploads & Files,0.0015513897866839764,0.0007756948933419883
Common Stopwords & Misc,0.0006464124111183134,0.0007648454793923575
HTML Entities & Generic Terms,0.0004524886877828038,0.0002962233804108483
Sleep & Rest,0.0003232062055591567,0.0004336266278280368
Twitter & Social Media,0.00019392372333548735,0.0002962233804108483
Physical Illness & Symptoms,6.464124111185132e-05,0.0006748743703239263
Fashion & Sneakers,0.0,0.0
Mental Health & Economy,0.0,0.0
Italy Earthquake & News,0.0,0.0
Football Personalities,0.0,0.0
Pets & Animals,0.0,0.0
Music & Media,0.0,0.0
Weather,0.0,0.0
Interpersonal Communication,0.0,0.0
Education & School,0.0,0.000289084418552008
TV Shows & Episodes,0.0,0.0
Questions & Understanding,0.0,0.0
